,precision,recall,f1-score,N Predictions
blanket1,0.041604754829123326,0.0175,0.024637043554773426,3200
blanket2,0.05331500152765047,0.3271875,0.0916892897801909,3200
canvas1,0.19732246798603026,0.1059375,0.13786091907279382,3200
ceiling1,0.07972972972972973,0.0184375,0.029949238578680204,3200
ceiling2,0.09440972808647188,0.5240625,0.15999618375232555,3200
cushion1,0.05727579014920584,0.1115625,0.07569172055549665,3200
floor1,0.19145269688092367,0.3471875,0.24680662001555037,3200
floor2,0.08894154818325434,0.1759375,0.11815320041972716,3200
grass1,0.1105283356786491,0.27,0.1568485068530453,3200
lentils1,0.04823529411764706,0.0128125,0.02024691358024691,3200
linseeds1,0.04572368421052632,0.0434375,0.044551282051282046,3200
oatmeal1,0.034210526315789476,0.0040625,0.007262569832402235,3200
pearlsugar1,0.04011461318051576,0.004375,0.007889546351084813,3200
rice1,0.06554185593770279,0.0315625,0.04260704492723054,3200
rice2,0.02308214528173795,0.010625,0.014551679863043013,3200
rug1,0.022988505747126436,0.0025,0.004509582863585118,3200
sand1,0.2200392927308448,0.035,0.06039363709894851,3200
scarf1,0.014308426073131956,0.0028125,0.004700966309741447,3200
scarf2,0.20925747348119575,0.0678125,0.10243096530564078,3200
screen1,0.17762237762237762,0.3175,0.22780269058295963,3200
seat1,0.25477707006369427,0.0125,0.023830801310694073,3200
seat2,0.15833333333333333,0.0059375,0.01144578313253012,3200
sesameseeds1,0.015503875968992248,0.000625,0.0012015620306398318,3200
stone1,0.038461538461538464,0.001875,0.003575685339690107,3200
stone2,0.031746031746031744,0.000625,0.001225865767698437,3200
stone3,0.021671826625386997,0.004375,0.0072802912116484665,3200
stoneslab1,0.040160642570281124,0.003125,0.0057987822557262975,3200
wall1,0.13226744186046513,0.1990625,0.1589321357285429,3200
,Macro Average
precision,0.08959378601354849
recall,0.09494419642857142
f1-score,0.06399537529021139
support,89600.0
,Weighted Average
precision,0.08959378601354849
recall,0.09494419642857142
f1-score,0.06399537529021138
support,89600.0
,
overall accuracy,0.09494419642857142
