,precision,recall,f1-score,N Predictions
blanket1,0.005249343832020997,0.00125,0.0020191822311963654,3200
blanket2,0.4980754426481909,0.2021875,0.2876194709935541,3200
canvas1,0.0,0.0,0.0,3200
ceiling1,0.0015329586101175269,0.0046875,0.0023103581055063534,3200
ceiling2,1.0,0.951875,0.9753442203009927,3200
cushion1,0.0,0.0,0.0,3200
floor1,0.9789325842696629,0.2178125,0.35633946830265845,3200
floor2,0.4174276024002087,1.0,0.5889931897662433,3200
grass1,0.0,0.0,0.0,3200
lentils1,0.0,0.0,0.0,3200
linseeds1,0.0,0.0,0.0,3200
oatmeal1,0.0,0.0,0.0,3200
pearlsugar1,0.0,0.0,0.0,3200
rice1,0.003543586109142452,0.0078125,0.0048756704046806435,3200
rice2,0.0,0.0,0.0,3200
rug1,0.0,0.0,0.0,3200
sand1,0.0,0.0,0.0,3200
scarf1,0.0,0.0,0.0,3200
scarf2,0.1056533827618165,0.035625,0.05328347744800186,3200
screen1,1.0,0.20125,0.3350676378772113,3200
seat1,0.0,0.0,0.0,3200
seat2,0.0,0.0,0.0,3200
sesameseeds1,0.0,0.0,0.0,3200
stone1,0.0,0.0,0.0,3200
stone2,0.0,0.0,0.0,3200
stone3,0.0,0.0,0.0,3200
stoneslab1,0.0016043790109475274,0.0053125,0.0024644824586836766,3200
wall1,0.0,0.0,0.0,3200
,Macro Average
precision,0.14328640284436098
recall,0.09385044642857143
f1-score,0.09315418421031173
support,89600.0
,Weighted Average
precision,0.143286402844361
recall,0.09385044642857143
f1-score,0.09315418421031174
support,89600.0
,
overall accuracy,0.09385044642857143
