,precision,recall,f1-score,N Predictions
blanket1,0.5319873510094868,0.6834375,0.5982765695527287,3200
blanket2,0.8867667121418826,0.8125,0.848010437051533,3200
canvas1,0.7137819570966794,0.7590625,0.7357261850673935,3200
ceiling1,0.5967825635703166,0.71875,0.652112276722427,3200
ceiling2,0.9012717536813922,0.8415625,0.8703943115707822,3200
cushion1,0.6471518987341772,0.6390625,0.6430817610062893,3200
floor1,0.9171516603902773,0.8371875,0.8753471654958339,3200
floor2,0.1259748050389922,0.525,0.20319303338171263,3200
grass1,0.8566396618527651,0.76,0.805431362808412,3200
lentils1,0.7962010288880095,0.62875,0.7026366334904838,3200
linseeds1,0.3258325832583258,0.4525,0.37885923600209315,3200
oatmeal1,0.3524611739931561,0.4184375,0.38262608944134874,3200
pearlsugar1,0.8613107822410148,0.6365625,0.7320754716981133,3200
rice1,0.6751211171273868,0.7403125,0.706215531375764,3200
rice2,0.8253424657534246,0.6778125,0.7443376801647221,3200
rug1,0.902461257976299,0.61875,0.7341490545050056,3200
sand1,0.8021828103683493,0.55125,0.6534543433969254,3200
scarf1,0.9414990859232175,0.64375,0.7646622123236824,3200
scarf2,0.9944812362030905,0.8446875,0.9134842852314972,3200
screen1,0.9892966360856269,0.80875,0.889958734525447,3200
seat1,0.7847469707769066,0.688125,0.7332667332667332,3200
seat2,0.6103896103896104,0.5728125,0.5910043527325487,3200
sesameseeds1,0.8771929824561403,0.578125,0.696929741947636,3200
stone1,0.7119496855345911,0.530625,0.6080572963294539,3200
stone2,0.8288235294117647,0.4403125,0.5751020408163267,3200
stone3,0.900089605734767,0.6278125,0.7396907216494846,3200
stoneslab1,0.9120222929936306,0.7159375,0.802170868347339,3200
wall1,0.9886899151743638,0.655625,0.7884254039834647,3200
,Macro Average
precision,0.7592001119216302
recall,0.6574107142857144
f1-score,0.6917385547816135
support,89600.0
,Weighted Average
precision,0.7592001119216303
recall,0.6574107142857143
f1-score,0.6917385547816137
support,89600.0
,
overall accuracy,0.6574107142857143
