,precision,recall,f1-score,N Predictions
blanket1,0.757030016,0.74875,0.752867243,3200
blanket2,0.77868296,0.716875,0.74650179,3200
canvas1,0.333620393,0.6053125,0.430157673,3200
ceiling1,0.706471219,0.6175,0.658996165,3200
ceiling2,0.867951463,0.76,0.810396534,3200
cushion1,0.340425532,0.465,0.393078854,3200
floor1,0.874172185,0.7425,0.802973978,3200
floor2,0.132911392,0.5184375,0.211580156,3200
grass1,0.730642202,0.6221875,0.672067511,3200
lentils1,0.70328334,0.5421875,0.612316923,3200
linseeds1,0.480881846,0.43625,0.457479928,3200
oatmeal1,0.546126898,0.4384375,0.486392789,3200
pearlsugar1,0.54954955,0.4003125,0.463207377,3200
rice1,0.733793517,0.7640625,0.748622168,3200
rice2,0.718925942,0.51875,0.602650209,3200
rug1,0.598688134,0.31375,0.411728522,3200
sand1,0.890486258,0.658125,0.756873315,3200
scarf1,0.850840336,0.6328125,0.725806452,3200
scarf2,0.713723114,0.73625,0.724811567,3200
screen1,0.707752877,0.7303125,0.718855737,3200
seat1,0.89865141,0.6871875,0.778820613,3200
seat2,0.947107438,0.71625,0.815658363,3200
sesameseeds1,0.40391909,0.399375,0.401634192,3200
stone1,0.748898678,0.478125,0.583635323,3200
stone2,0.693020986,0.44375,0.541055439,3200
stone3,0.75786016,0.5046875,0.605890077,3200
stoneslab1,0.40660737,0.5,0.448493343,3200
wall1,0.686819377,0.5715625,0.623912673,3200
,Macro Average,,,
precision,0.662815846,,,
recall,0.581026786,,,
f1-score,0.606659461,,,
support,89600,,,
,Weighted Average,,,
precision,0.662815846,,,
recall,0.581026786,,,
f1-score,0.606659461,,,
support,89600,,,
,,,,
overall accuracy,0.581026786,,,
