,precision,recall,f1-score,N Predictions
blanket1,1.0,0.821875,0.9022298456260721,320
blanket2,0.7808564231738035,0.96875,0.8647140864714087,320
canvas1,1.0,0.84375,0.9152542372881356,320
ceiling1,1.0,1.0,1.0,320
ceiling2,1.0,1.0,1.0,320
cushion1,0.8867313915857605,0.85625,0.8712241653418124,320
floor1,0.9968847352024922,1.0,0.9984399375975038,320
floor2,1.0,0.01875,0.03680981595092024,320
grass1,0.7131367292225201,0.83125,0.7676767676767677,320
lentils1,0.8936781609195402,0.971875,0.9311377245508983,320
linseeds1,0.5112903225806451,0.990625,0.6744680851063829,320
oatmeal1,0.8647058823529412,0.91875,0.8909090909090909,320
pearlsugar1,0.9937106918238994,0.9875,0.9905956112852665,320
rice1,0.9590443686006825,0.878125,0.9168026101141924,320
rice2,0.8815426997245179,1.0,0.9370424597364568,320
rug1,0.7195467422096318,0.79375,0.7548291233283804,320
sand1,0.8788732394366198,0.975,0.9244444444444445,320
scarf1,1.0,1.0,1.0,320
scarf2,1.0,1.0,1.0,320
screen1,1.0,1.0,1.0,320
seat1,0.9093959731543624,0.846875,0.8770226537216829,320
seat2,1.0,1.0,1.0,320
sesameseeds1,0.9937694704049844,0.996875,0.9953198127925117,320
stone1,0.46387832699619774,0.38125,0.41852487135506,320
stone2,0.42487046632124353,0.5125,0.46458923512747874,320
stone3,0.9054878048780488,0.928125,0.9166666666666667,320
stoneslab1,0.7126436781609196,0.3875,0.5020242914979757,320
wall1,0.9208211143695014,0.98125,0.9500756429652042,320
,Macro Average
precision,0.871816722182797
recall,0.8532366071428571
f1-score,0.8393143278412255
support,8960.0
,Weighted Average
precision,0.8718167221827969
recall,0.8532366071428571
f1-score,0.8393143278412254
support,8960.0
,
overall accuracy,0.8532366071428571
